origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_estimate,origin_col_11_moe,movers_within_same_municipio_estimate,origin_col_13_moe,movers_from_different_municipio_estimate,origin_col_15_moe,movers_from_u_s_estimate,origin_col_17_moe,movers_from_elsewhere1_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_or_united_states2_estimate,dest_col_27_moe,movers_within_same_municipio_county_estimate,dest_col_29_moe,movers_to_different_municipio_or_county__same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
72,001,12,095,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Florida,Orange County,1143240.0,4754.0,922905.0,6152.0,218403.0,5598.0,144101.0,4590.0,43122.0,2470.0,31180.0,1882.0,1932.0,465.0,15.0,24.0,Adjuntas Municipio,Orange,72_001,12_095,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,12,097,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Florida,Osceola County,275990.0,2706.0,235429.0,3296.0,39571.0,3099.0,20518.0,2196.0,12551.0,1511.0,6502.0,889.0,990.0,402.0,12.0,18.0,Adjuntas Municipio,Osceola,72_001,12_097,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,12,117,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Florida,Seminole County,421946.0,3008.0,367264.0,2859.0,54319.0,3503.0,26926.0,2703.0,19640.0,1877.0,7753.0,894.0,363.0,148.0,50.0,58.0,Adjuntas Municipio,Seminole,72_001,12_117,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,34,023,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,New Jersey,Middlesex County,803876.0,3087.0,719786.0,2828.0,83626.0,3358.0,48282.0,2308.0,18141.0,1494.0,17203.0,1527.0,464.0,207.0,9.0,15.0,Adjuntas Municipio,Middlesex,72_001,34_023,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,36,103,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,New York,Suffolk County,1486725.0,2925.0,1377190.0,3616.0,109479.0,3135.0,70323.0,2955.0,16713.0,1049.0,22443.0,1380.0,56.0,41.0,10.0,17.0,Adjuntas Municipio,Suffolk,72_001,36_103,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,48,223,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Texas,Hopkins County,34864.0,638.0,29778.0,620.0,5036.0,762.0,2824.0,545.0,1778.0,449.0,434.0,245.0,50.0,75.0,50.0,75.0,Adjuntas Municipio,Hopkins,72_001,48_223,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,005,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Aguadilla Municipio,59116.0,744.0,54113.0,824.0,3924.0,645.0,2793.0,578.0,1131.0,301.0,1079.0,341.0,,,3.0,6.0,Adjuntas Municipio,Aguadilla Municipio,72_001,72_005,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,009,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Aibonito Municipio,26126.0,331.0,24584.0,219.0,1158.0,354.0,479.0,200.0,679.0,283.0,384.0,173.0,,,2.0,4.0,Adjuntas Municipio,Aibonito Municipio,72_001,72_009,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,017,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Barceloneta Municipio,24644.0,461.0,22425.0,611.0,1845.0,576.0,1167.0,499.0,678.0,310.0,374.0,267.0,,,1.0,2.0,Adjuntas Municipio,Barceloneta Municipio,72_001,72_017,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,043,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Coamo Municipio,40440.0,463.0,37594.0,561.0,2394.0,593.0,1668.0,508.0,726.0,277.0,452.0,245.0,,,21.0,33.0,Adjuntas Municipio,Coamo Municipio,72_001,72_043,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,054,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Florida Municipio,12798.0,485.0,11317.0,469.0,1196.0,465.0,571.0,315.0,625.0,291.0,285.0,227.0,,,19.0,30.0,Adjuntas Municipio,Florida Municipio,72_001,72_054,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,081,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Lares Municipio,30477.0,332.0,28950.0,286.0,1083.0,310.0,499.0,217.0,584.0,248.0,444.0,236.0,,,41.0,49.0,Adjuntas Municipio,Lares Municipio,72_001,72_081,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,103,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Naguabo Municipio,26845.0,509.0,24897.0,556.0,1498.0,528.0,970.0,426.0,528.0,261.0,450.0,199.0,,,1.0,2.0,Adjuntas Municipio,Naguabo Municipio,72_001,72_103,inflow_09_13_Puerto Rico.csv,2009,2013
72,001,72,113,Puerto Rico,Adjuntas Municipio,19198.0,84.0,18210.0,293.0,842.0,251.0,700.0,234.0,142.0,97.0,146.0,92.0,,,Puerto Rico,Ponce Municipio,161381.0,1139.0,145236.0,1148.0,12597.0,1140.0,10091.0,1022.0,2506.0,428.0,3548.0,791.0,,,10.0,16.0,Adjuntas Municipio,Ponce Municipio,72_001,72_113,inflow_09_13_Puerto Rico.csv,2009,2013
