origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,origin_movers_us_estimate,origin_col_11_moe,origin_movers_same_county_estimate,origin_col_13_moe,origin_movers_diff_county_same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,origin_movers_abroad_estimate,origin_col_19_moe,dest_state_name,dest_county_name,county_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,dest_movers_us_estimate,dest_col_27_moe,dest_movers_same_county_estimate,dest_col_29_moe,dest_movers_diff_county_same_state_estimate,dest_col_31_moe,dest_movers_diff_state_estimate,dest_col_33_moe,dest_movers_pr_estimate,dest_col_35_moe,movers_in_county_to_county_flow_estimate,dest_col_37_moe,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file,year_start,year_end
50,001,04,013,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,Arizona,Maricopa County,4294816.0,7863.0,3637569.0,12791.0,657176.0,11666.0,508750.0,10297.0,47928.0,2845.0,100498.0,4438.0,71.0,58.0,10.0,17.0,Addison,Maricopa,50_001,04_013,inflow_16_20_Vermont.csv,2016,2020
50,001,04,019,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,Arizona,Pima County,1004433.0,3405.0,830937.0,5139.0,173419.0,5085.0,128481.0,4393.0,15987.0,1432.0,28951.0,2208.0,77.0,101.0,20.0,35.0,Addison,Pima,50_001,04_019,inflow_16_20_Vermont.csv,2016,2020
50,001,05,143,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,Arkansas,Washington County,227759.0,2231.0,191671.0,2078.0,36088.0,2098.0,22499.0,1708.0,7490.0,1226.0,6099.0,769.0,,,5.0,12.0,Addison,Washington,50_001,05_143,inflow_16_20_Vermont.csv,2016,2020
50,001,06,001,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,Alameda County,1643733.0,4897.0,1435632.0,4472.0,208101.0,4467.0,105131.0,3637.0,71396.0,2432.0,31574.0,2102.0,,,5.0,9.0,Addison,Alameda,50_001,06_001,inflow_16_20_Vermont.csv,2016,2020
50,001,06,013,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,Contra Costa County,1128403.0,4270.0,1001264.0,4600.0,127139.0,4770.0,70861.0,4147.0,36689.0,2096.0,19589.0,1818.0,,,4.0,9.0,Addison,Contra Costa,50_001,06_013,inflow_16_20_Vermont.csv,2016,2020
50,001,06,037,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,Los Angeles County,9992508.0,8259.0,8950027.0,12213.0,1042027.0,12780.0,717388.0,10582.0,180755.0,5598.0,143884.0,4931.0,454.0,239.0,36.0,31.0,Addison,Los Angeles,50_001,06_037,inflow_16_20_Vermont.csv,2016,2020
50,001,06,041,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,Marin County,254775.0,2006.0,224256.0,1845.0,30519.0,1956.0,14001.0,1365.0,11608.0,1207.0,4910.0,656.0,,,20.0,20.0,Addison,Marin,50_001,06_041,inflow_16_20_Vermont.csv,2016,2020
50,001,06,059,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,Orange County,3131572.0,6876.0,2745432.0,6760.0,386140.0,7615.0,255402.0,5906.0,75299.0,3229.0,55439.0,2706.0,,,4.0,9.0,Addison,Orange,50_001,06_059,inflow_16_20_Vermont.csv,2016,2020
50,001,06,071,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,San Bernardino County,2109202.0,6136.0,1876486.0,7274.0,232716.0,6359.0,144025.0,5623.0,53033.0,2732.0,35658.0,2213.0,,,10.0,16.0,Addison,San Bernardino,50_001,06_071,inflow_16_20_Vermont.csv,2016,2020
50,001,06,075,Vermont,Addison County,36737.0,70.0,32023.0,453.0,4493.0,440.0,1919.0,300.0,848.0,224.0,1726.0,267.0,221.0,77.0,California,San Francisco County,876575.0,3850.0,739716.0,3372.0,136683.0,4161.0,64005.0,2752.0,50483.0,2531.0,22195.0,1550.0,176.0,126.0,13.0,20.0,Addison,San Francisco,50_001,06_075,inflow_16_20_Vermont.csv,2016,2020
