origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_or_united_states1_estimate,origin_col_11_moe,movers_within_same_municipio_county_estimate,origin_col_13_moe,movers_from_different_municipio_or_county__same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,movers_from_elsewhere2_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_of_residence_1_year_ago3_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_estimate,dest_col_27_moe,movers_within_same_municipio_estimate,dest_col_29_moe,movers_to_different_municipio_estimate,dest_col_31_moe,movers_in_county_to_county_flow_estimate,dest_col_33_moe,dest_col_34,dest_col_35,dest_col_36,dest_col_37,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,095,72,000,Alabama,Marshall County,86159.0,317.0,72759.0,1270.0,12722.0,1121.0,8119.0,1015.0,2615.0,511.0,1988.0,574.0,678.0,436.0,Puerto Rico,-,,,,,,,,,,,100.0,123.0,,,,,Marshall,,01_095,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,097,72,000,Alabama,Mobile County,399807.0,551.0,341967.0,2754.0,56145.0,2636.0,42234.0,2491.0,4615.0,781.0,9296.0,1058.0,1695.0,472.0,Puerto Rico,-,,,,,,,,,,,76.0,99.0,,,,,Mobile,,01_097,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,101,72,000,Alabama,Montgomery County,220982.0,398.0,177299.0,2091.0,42491.0,2097.0,27272.0,1895.0,7494.0,952.0,7725.0,943.0,1192.0,383.0,Puerto Rico,-,,,,,,,,,,,10.0,17.0,,,,,Montgomery,,01_101,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,121,72,000,Alabama,Talladega County,79138.0,269.0,67586.0,1212.0,11396.0,1170.0,6443.0,970.0,3216.0,648.0,1737.0,493.0,156.0,91.0,Puerto Rico,-,,,,,,,,,,,18.0,29.0,,,,,Talladega,,01_121,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,125,72,000,Alabama,Tuscaloosa County,176666.0,334.0,139762.0,2097.0,35550.0,2033.0,20417.0,1731.0,9799.0,1138.0,5334.0,918.0,1354.0,490.0,Puerto Rico,-,,,,,,,,,,,49.0,68.0,,,,,Tuscaloosa,,01_125,Puerto Rico,outflow_05_09_Puerto Rico.csv
02,020,72,000,Alaska,Anchorage Municipality,275651.0,482.0,210426.0,2824.0,62055.0,2724.0,40186.0,2078.0,6133.0,841.0,15736.0,1481.0,3170.0,642.0,Puerto Rico,-,,,,,,,,,,,97.0,111.0,,,,,Anchorage Municipality,,02_020,Puerto Rico,outflow_05_09_Puerto Rico.csv
02,090,72,000,Alaska,Fairbanks North Star Borough,95280.0,248.0,70967.0,1673.0,22900.0,1644.0,12946.0,1470.0,2673.0,644.0,7281.0,1056.0,1413.0,431.0,Puerto Rico,-,,,,,,,,,,,36.0,61.0,,,,,Fairbanks North Star Borough,,02_090,Puerto Rico,outflow_05_09_Puerto Rico.csv
04,003,72,000,Arizona,Cochise County,125767.0,313.0,99519.0,1766.0,24633.0,1589.0,11517.0,1459.0,4378.0,1048.0,8738.0,856.0,1615.0,512.0,Puerto Rico,-,,,,,,,,,,,45.0,74.0,,,,,Cochise,,04_003,Puerto Rico,outflow_05_09_Puerto Rico.csv
04,009,72,000,Arizona,Graham County,34252.0,121.0,28322.0,677.0,5720.0,648.0,2597.0,536.0,2268.0,419.0,855.0,281.0,210.0,97.0,Puerto Rico,-,,,,,,,,,,,10.0,17.0,,,,,Graham,,04_009,Puerto Rico,outflow_05_09_Puerto Rico.csv
04,013,72,000,Arizona,Maricopa County,3790712.0,1932.0,2993298.0,11083.0,762397.0,10588.0,569170.0,9886.0,38081.0,2432.0,155146.0,4477.0,35017.0,2618.0,Puerto Rico,-,,,,,,,,,,,246.0,216.0,,,,,Maricopa,,04_013,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,007,72,000,Arkansas,Benton County,207148.0,346.0,165945.0,2329.0,40530.0,2288.0,22460.0,2021.0,5725.0,975.0,12345.0,1594.0,673.0,205.0,Puerto Rico,-,,,,,,,,,,,18.0,28.0,,,,,Benton,,05_007,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,031,72,000,Arkansas,Craighead County,89987.0,233.0,71123.0,1655.0,18611.0,1637.0,11619.0,1267.0,4368.0,728.0,2624.0,604.0,253.0,106.0,Puerto Rico,-,,,,,,,,,,,14.0,22.0,,,,,Craighead,,05_031,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,045,72,000,Arkansas,Faulkner County,103308.0,217.0,79508.0,1356.0,23174.0,1388.0,12112.0,1173.0,7521.0,991.0,3541.0,592.0,626.0,210.0,Puerto Rico,-,,,,,,,,,,,36.0,82.0,,,,,Faulkner,,05_045,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,115,72,000,Arkansas,Pope County,58040.0,213.0,46821.0,990.0,11040.0,975.0,6486.0,907.0,3182.0,556.0,1372.0,367.0,179.0,126.0,Puerto Rico,-,,,,,,,,,,,12.0,17.0,,,,,Pope,,05_115,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,131,72,000,Arkansas,Sebastian County,119444.0,288.0,96234.0,1773.0,22833.0,1717.0,15412.0,1603.0,3381.0,620.0,4040.0,646.0,377.0,163.0,Puerto Rico,-,,,,,,,,,,,27.0,44.0,,,,,Sebastian,,05_131,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,143,72,000,Arkansas,Washington County,189893.0,457.0,140596.0,2327.0,48024.0,2261.0,29535.0,1947.0,9048.0,917.0,9441.0,1345.0,1273.0,458.0,Puerto Rico,-,,,,,,,,,,,67.0,74.0,,,,,Washington,,05_143,Puerto Rico,outflow_05_09_Puerto Rico.csv
05,145,72,000,Arkansas,White County,72779.0,180.0,56659.0,1306.0,15780.0,1309.0,9002.0,1106.0,3628.0,728.0,3150.0,543.0,340.0,165.0,Puerto Rico,-,,,,,,,,,,,47.0,78.0,,,,,White,,05_145,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,001,72,000,California,Alameda County,1437189.0,859.0,1197957.0,6781.0,223897.0,6621.0,143538.0,5809.0,58630.0,2734.0,21729.0,1603.0,15335.0,1413.0,Puerto Rico,-,,,,,,,,,,,60.0,93.0,,,,,Alameda,,06_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,013,72,000,California,Contra Costa County,1002968.0,742.0,852992.0,5650.0,142675.0,5620.0,94954.0,5006.0,37042.0,2214.0,10679.0,1144.0,7301.0,979.0,Puerto Rico,-,,,,,,,,,,,47.0,49.0,,,,,Contra Costa,,06_013,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,019,72,000,California,Fresno County,874912.0,954.0,727561.0,5635.0,142484.0,5535.0,113150.0,4941.0,22226.0,2152.0,7108.0,991.0,4867.0,895.0,Puerto Rico,-,,,,,,,,,,,28.0,34.0,,,,,Fresno,,06_019,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,023,72,000,California,Humboldt County,127421.0,258.0,103284.0,1611.0,23627.0,1491.0,15167.0,1256.0,5744.0,695.0,2716.0,552.0,510.0,192.0,Puerto Rico,-,,,,,,,,,,,21.0,33.0,,,,,Humboldt,,06_023,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,025,72,000,California,Imperial County,157392.0,395.0,132867.0,2194.0,22034.0,1991.0,14155.0,1624.0,6089.0,819.0,1790.0,531.0,2491.0,658.0,Puerto Rico,-,,,,,,,,,,,39.0,63.0,,,,,Imperial,,06_025,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,037,72,000,California,Los Angeles County,9639633.0,2416.0,8385192.0,16130.0,1179519.0,15903.0,966637.0,14727.0,116102.0,4179.0,96780.0,3804.0,74922.0,2875.0,Puerto Rico,-,,,,,,,,,,,488.0,277.0,,,,,Los Angeles,,06_037,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,041,72,000,California,Marin County,244069.0,343.0,207351.0,2047.0,35013.0,2005.0,17043.0,1407.0,14279.0,1511.0,3691.0,645.0,1705.0,417.0,Puerto Rico,-,,,,,,,,,,,38.0,46.0,,,,,Marin,,06_041,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,053,72,000,California,Monterey County,397750.0,623.0,326404.0,2670.0,67220.0,2615.0,44314.0,2598.0,13986.0,1292.0,8920.0,922.0,4126.0,590.0,Puerto Rico,-,,,,,,,,,,,35.0,61.0,,,,,Monterey,,06_053,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,059,72,000,California,Orange County,2935606.0,1288.0,2486770.0,8666.0,424000.0,8867.0,308826.0,7707.0,80348.0,3392.0,34826.0,2360.0,24836.0,1924.0,Puerto Rico,-,,,,,,,,,,,13.0,20.0,,,,,Orange,,06_059,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,061,72,000,California,Placer County,328407.0,424.0,275870.0,2662.0,50835.0,2643.0,26927.0,1962.0,18988.0,1642.0,4920.0,881.0,1702.0,361.0,Puerto Rico,-,,,,,,,,,,,51.0,76.0,,,,,Placer,,06_061,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,065,72,000,California,Riverside County,2005811.0,1137.0,1644224.0,7910.0,348946.0,7731.0,217463.0,5782.0,106373.0,4612.0,25110.0,1945.0,12641.0,1306.0,Puerto Rico,-,,,,,,,,,,,87.0,93.0,,,,,Riverside,,06_065,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,067,72,000,California,Sacramento County,1356263.0,919.0,1076592.0,6391.0,270778.0,6312.0,196753.0,5776.0,55765.0,2452.0,18260.0,1987.0,8893.0,1121.0,Puerto Rico,-,,,,,,,,,,,7.0,11.0,,,,,Sacramento,,06_067,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,071,72,000,California,San Bernardino County,1956573.0,1270.0,1611008.0,8626.0,333997.0,8132.0,215908.0,6913.0,91509.0,3894.0,26580.0,2201.0,11568.0,1095.0,Puerto Rico,-,,,,,,,,,,,97.0,105.0,,,,,San Bernardino,,06_071,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,073,72,000,California,San Diego County,2942250.0,1336.0,2402432.0,8152.0,505688.0,7975.0,363883.0,7418.0,64096.0,3642.0,77709.0,3350.0,34130.0,2164.0,Puerto Rico,-,,,,,,,,,,,54.0,53.0,,,,,San Diego,,06_073,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,075,72,000,California,San Francisco County,788129.0,628.0,664364.0,3472.0,114091.0,3430.0,67205.0,2697.0,30529.0,1791.0,16357.0,1337.0,9674.0,1002.0,Puerto Rico,-,,,,,,,,,,,6.0,10.0,,,,,San Francisco,,06_075,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,077,72,000,California,San Joaquin County,653047.0,719.0,526549.0,4882.0,121474.0,4573.0,88051.0,4379.0,26426.0,2040.0,6997.0,1090.0,5024.0,1281.0,Puerto Rico,-,,,,,,,,,,,17.0,28.0,,,,,San Joaquin,,06_077,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,081,72,000,California,San Mateo County,692234.0,639.0,596578.0,3891.0,88344.0,3758.0,51741.0,2996.0,30445.0,2340.0,6158.0,821.0,7312.0,1073.0,Puerto Rico,-,,,,,,,,,,,9.0,14.0,,,,,San Mateo,,06_081,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,083,72,000,California,Santa Barbara County,395879.0,550.0,307500.0,3537.0,84567.0,3470.0,57781.0,3075.0,18235.0,1227.0,8551.0,958.0,3812.0,530.0,Puerto Rico,-,,,,,,,,,,,58.0,85.0,,,,,Santa Barbara,,06_083,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,095,72,000,California,Solano County,399971.0,507.0,329395.0,3398.0,68026.0,3456.0,43834.0,2975.0,18695.0,1906.0,5497.0,819.0,2550.0,443.0,Puerto Rico,-,,,,,,,,,,,30.0,47.0,,,,,Solano,,06_095,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,097,72,000,California,Sonoma County,458705.0,539.0,386608.0,3004.0,70101.0,2909.0,51399.0,2802.0,12890.0,1208.0,5812.0,893.0,1996.0,372.0,Puerto Rico,-,,,,,,,,,,,31.0,36.0,,,,,Sonoma,,06_097,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,099,72,000,California,Stanislaus County,497195.0,591.0,404580.0,4014.0,89894.0,3990.0,68597.0,3792.0,16718.0,1763.0,4579.0,787.0,2721.0,729.0,Puerto Rico,-,,,,,,,,,,,48.0,67.0,,,,,Stanislaus,,06_099,Puerto Rico,outflow_05_09_Puerto Rico.csv
06,111,72,000,California,Ventura County,781459.0,684.0,675019.0,4258.0,101161.0,4238.0,67554.0,3292.0,23156.0,2070.0,10451.0,1138.0,5279.0,851.0,Puerto Rico,-,,,,,,,,,,,15.0,26.0,,,,,Ventura,,06_111,Puerto Rico,outflow_05_09_Puerto Rico.csv
08,001,72,000,Colorado,Adams County,411985.0,541.0,334356.0,2980.0,74890.0,3001.0,37178.0,2285.0,27592.0,2102.0,10120.0,1220.0,2739.0,678.0,Puerto Rico,-,,,,,,,,,,,15.0,24.0,,,,,Adams,,08_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
08,097,72,000,Colorado,Pitkin County,15024.0,133.0,12221.0,655.0,2476.0,583.0,1344.0,467.0,476.0,301.0,656.0,312.0,327.0,263.0,Puerto Rico,-,,,,,,,,,,,61.0,90.0,,,,,Pitkin,,08_097,Puerto Rico,outflow_05_09_Puerto Rico.csv
08,101,72,000,Colorado,Pueblo County,151910.0,257.0,125624.0,1687.0,25725.0,1718.0,16675.0,1435.0,5486.0,973.0,3564.0,640.0,561.0,220.0,Puerto Rico,-,,,,,,,,,,,15.0,24.0,,,,,Pueblo,,08_101,Puerto Rico,outflow_05_09_Puerto Rico.csv
08,113,72,000,Colorado,San Miguel County,7341.0,31.0,5595.0,279.0,1671.0,276.0,927.0,279.0,156.0,86.0,588.0,198.0,75.0,77.0,Puerto Rico,-,,,,,,,,,,,31.0,46.0,,,,,San Miguel,,08_113,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,001,72,000,Connecticut,Fairfield County,881867.0,666.0,780202.0,3859.0,94179.0,3653.0,62344.0,3165.0,6825.0,786.0,25010.0,1721.0,7486.0,890.0,Puerto Rico,-,,,,,,,,,,,246.0,156.0,,,,,Fairfield,,09_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,003,72,000,Connecticut,Hartford County,864349.0,580.0,753028.0,3572.0,106572.0,3309.0,74302.0,3142.0,14827.0,1252.0,17443.0,1430.0,4749.0,723.0,Puerto Rico,-,,,,,,,,,,,1228.0,470.0,,,,,Hartford,,09_003,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,005,72,000,Connecticut,Litchfield County,186754.0,236.0,169677.0,1175.0,16457.0,1157.0,9681.0,958.0,4451.0,723.0,2325.0,432.0,620.0,288.0,Puerto Rico,-,,,,,,,,,,,64.0,65.0,,,,,Litchfield,,09_005,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,007,72,000,Connecticut,Middlesex County,162320.0,243.0,144607.0,1394.0,16971.0,1314.0,8234.0,927.0,4820.0,677.0,3917.0,606.0,742.0,375.0,Puerto Rico,-,,,,,,,,,,,282.0,300.0,,,,,Middlesex,,09_007,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,009,72,000,Connecticut,New Haven County,833811.0,607.0,726541.0,4091.0,102059.0,3966.0,70187.0,3567.0,14305.0,1451.0,17567.0,1215.0,5211.0,814.0,Puerto Rico,-,,,,,,,,,,,952.0,441.0,,,,,New Haven,,09_009,Puerto Rico,outflow_05_09_Puerto Rico.csv
09,011,72,000,Connecticut,New London County,263554.0,334.0,221445.0,2495.0,39908.0,2327.0,23524.0,1902.0,6234.0,692.0,10150.0,1193.0,2201.0,557.0,Puerto Rico,-,,,,,,,,,,,327.0,242.0,,,,,New London,,09_011,Puerto Rico,outflow_05_09_Puerto Rico.csv
10,001,72,000,Delaware,Kent County,149545.0,258.0,126566.0,1713.0,22383.0,1711.0,13590.0,1418.0,2842.0,528.0,5951.0,860.0,596.0,207.0,Puerto Rico,-,,,,,,,,,,,99.0,80.0,,,,,Kent,,10_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
10,003,72,000,Delaware,New Castle County,520902.0,540.0,436208.0,2947.0,81362.0,3110.0,53744.0,2543.0,3310.0,658.0,24308.0,2314.0,3332.0,645.0,Puerto Rico,-,,,,,,,,,,,227.0,136.0,,,,,New Castle,,10_003,Puerto Rico,outflow_05_09_Puerto Rico.csv
10,005,72,000,Delaware,Sussex County,182811.0,268.0,161253.0,1719.0,20653.0,1634.0,11297.0,1290.0,1896.0,405.0,7460.0,855.0,905.0,509.0,Puerto Rico,-,,,,,,,,,,,13.0,16.0,,,,,Sussex,,10_005,Puerto Rico,outflow_05_09_Puerto Rico.csv
11,001,72,000,District of Columbia,District of Columbia,580260.0,623.0,470630.0,3352.0,101930.0,3074.0,56228.0,2453.0,,,45702.0,1909.0,7700.0,769.0,Puerto Rico,-,,,,,,,,,,,168.0,92.0,,,,,District of Columbia,,11_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,001,72,000,Florida,Alachua County,236443.0,370.0,171862.0,2660.0,62986.0,2642.0,37291.0,2121.0,17892.0,1645.0,7803.0,1235.0,1595.0,440.0,Puerto Rico,-,,,,,,,,,,,40.0,44.0,,,,,Alachua,,12_001,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,009,72,000,Florida,Brevard County,527095.0,461.0,448165.0,3644.0,76721.0,3439.0,47486.0,2620.0,12992.0,1586.0,16243.0,1436.0,2209.0,522.0,Puerto Rico,-,,,,,,,,,,,268.0,244.0,,,,,Brevard,,12_009,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,011,72,000,Florida,Broward County,1736630.0,966.0,1444750.0,7248.0,272850.0,7243.0,184874.0,5862.0,50734.0,3079.0,37242.0,2273.0,19030.0,1825.0,Puerto Rico,-,,,,,,,,,,,1188.0,380.0,,,,,Broward,,12_011,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,019,72,000,Florida,Clay County,177499.0,352.0,147428.0,2392.0,28877.0,2310.0,13633.0,1577.0,9878.0,1448.0,5366.0,748.0,1194.0,470.0,Puerto Rico,-,,,,,,,,,,,108.0,138.0,,,,,Clay,,12_019,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,021,72,000,Florida,Collier County,309486.0,426.0,264246.0,2874.0,41747.0,2918.0,25967.0,2356.0,5886.0,892.0,9894.0,1065.0,3493.0,839.0,Puerto Rico,-,,,,,,,,,,,249.0,262.0,,,,,Collier,,12_021,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,031,72,000,Florida,Duval County,834556.0,809.0,664346.0,4998.0,165606.0,4786.0,113622.0,4035.0,22275.0,1642.0,29709.0,2151.0,4604.0,871.0,Puerto Rico,-,,,,,,,,,,,401.0,334.0,,,,,Duval,,12_031,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,033,72,000,Florida,Escambia County,299000.0,494.0,232385.0,2483.0,64618.0,2431.0,36250.0,2204.0,8785.0,1218.0,19583.0,1425.0,1997.0,436.0,Puerto Rico,-,,,,,,,,,,,75.0,55.0,,,,,Escambia,,12_033,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,053,72,000,Florida,Hernando County,164699.0,273.0,139351.0,1871.0,24392.0,1788.0,10351.0,1259.0,7531.0,1070.0,6510.0,1127.0,956.0,341.0,Puerto Rico,-,,,,,,,,,,,69.0,64.0,,,,,Hernando,,12_053,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,055,72,000,Florida,Highlands County,96482.0,200.0,81209.0,1503.0,14812.0,1515.0,9084.0,1270.0,3179.0,626.0,2549.0,479.0,461.0,192.0,Puerto Rico,-,,,,,,,,,,,34.0,74.0,,,,,Highlands,,12_055,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,057,72,000,Florida,Hillsborough County,1150726.0,803.0,918416.0,5632.0,223215.0,5381.0,152269.0,4424.0,32928.0,2108.0,38018.0,2485.0,9095.0,1192.0,Puerto Rico,-,,,,,,,,,,,1102.0,541.0,,,,,Hillsborough,,12_057,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,061,72,000,Florida,Indian River County,130392.0,262.0,109091.0,1351.0,20584.0,1337.0,11639.0,1109.0,4934.0,802.0,4011.0,660.0,717.0,370.0,Puerto Rico,-,,,,,,,,,,,13.0,21.0,,,,,Indian River,,12_061,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,063,72,000,Florida,Jackson County,49083.0,159.0,40208.0,1097.0,8749.0,1075.0,3236.0,690.0,4321.0,859.0,1192.0,344.0,126.0,84.0,Puerto Rico,-,,,,,,,,,,,21.0,26.0,,,,,Jackson,,12_063,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,069,72,000,Florida,Lake County,294668.0,334.0,247712.0,2192.0,45399.0,2210.0,20339.0,1737.0,14674.0,1398.0,10386.0,1141.0,1557.0,510.0,Puerto Rico,-,,,,,,,,,,,439.0,287.0,,,,,Lake,,12_069,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,071,72,000,Florida,Lee County,567079.0,589.0,464022.0,3948.0,99421.0,3747.0,59111.0,2646.0,15303.0,2176.0,25007.0,1781.0,3636.0,722.0,Puerto Rico,-,,,,,,,,,,,301.0,193.0,,,,,Lee,,12_071,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,075,72,000,Florida,Levy County,37977.0,133.0,32083.0,864.0,5621.0,860.0,2383.0,462.0,2528.0,569.0,710.0,231.0,273.0,197.0,Puerto Rico,-,,,,,,,,,,,142.0,147.0,,,,,Levy,,12_075,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,081,72,000,Florida,Manatee County,308772.0,470.0,256496.0,2800.0,50617.0,2639.0,29423.0,2193.0,9871.0,969.0,11323.0,1408.0,1659.0,518.0,Puerto Rico,-,,,,,,,,,,,75.0,99.0,,,,,Manatee,,12_081,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,083,72,000,Florida,Marion County,315458.0,474.0,261444.0,2650.0,53013.0,2599.0,29583.0,2060.0,12660.0,1426.0,10770.0,1441.0,1001.0,348.0,Puerto Rico,-,,,,,,,,,,,249.0,192.0,,,,,Marion,,12_083,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,086,72,000,Florida,Miami-Dade County,2423752.0,1341.0,2064866.0,7611.0,323433.0,7176.0,261685.0,6790.0,30420.0,2153.0,31328.0,2220.0,35453.0,2383.0,Puerto Rico,-,,,,,,,,,,,2060.0,624.0,,,,,Miami-Dade,,12_086,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,091,72,000,Florida,Okaloosa County,178113.0,339.0,140866.0,1714.0,35025.0,1579.0,19366.0,1430.0,3601.0,550.0,12058.0,1169.0,2222.0,491.0,Puerto Rico,-,,,,,,,,,,,58.0,57.0,,,,,Okaloosa,,12_091,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,095,72,000,Florida,Orange County,1045575.0,973.0,820789.0,6357.0,211398.0,5870.0,137228.0,4701.0,42400.0,2508.0,31770.0,2659.0,13388.0,1561.0,Puerto Rico,-,,,,,,,,,,,3929.0,874.0,,,,,Orange,,12_095,Puerto Rico,outflow_05_09_Puerto Rico.csv
12,097,72,000,Florida,Osceola County,251481.0,472.0,201145.0,2809.0,47157.0,2860.0,23193.0,2114.0,14474.0,1768.0,9490.0,1354.0,3179.0,785.0,Puerto Rico,-,,,,,,,,,,,1593.0,523.0,,,,,Osceola,,12_097,Puerto Rico,outflow_05_09_Puerto Rico.csv
