origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_or_united_states1_estimate,origin_col_11_moe,movers_within_same_municipio_county_estimate,origin_col_13_moe,movers_from_different_municipio_or_county__same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,movers_from_elsewhere2_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_of_residence_1_year_ago3_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_estimate,dest_col_27_moe,movers_within_same_municipio_estimate,dest_col_29_moe,movers_to_different_municipio_estimate,dest_col_31_moe,movers_in_county_to_county_flow_estimate,dest_col_33_moe,dest_col_34,dest_col_35,dest_col_36,dest_col_37,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
01,003,72,000,Alabama,Baldwin County,169921.0,304.0,140749.0,1964.0,28471.0,1933.0,15329.0,1609.0,4049.0,763.0,9093.0,1385.0,701.0,350.0,Puerto Rico,-,,,,,,,,,,,23.0,32.0,,,,,Baldwin,,01_003,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,021,72,000,Alabama,Chilton County,41668.0,150.0,36431.0,915.0,5162.0,890.0,3473.0,671.0,1304.0,455.0,385.0,163.0,75.0,49.0,Puerto Rico,-,,,,,,,,,,,3.0,6.0,,,,,Chilton,,01_021,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,039,72,000,Alabama,Covington County,36388.0,112.0,32042.0,643.0,4310.0,620.0,2674.0,509.0,759.0,327.0,877.0,299.0,36.0,33.0,Puerto Rico,-,,,,,,,,,,,14.0,21.0,,,,,Covington,,01_039,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,043,72,000,Alabama,Cullman County,79826.0,185.0,67362.0,1490.0,12280.0,1511.0,7530.0,1082.0,2870.0,710.0,1880.0,571.0,184.0,154.0,Puerto Rico,-,,,,,,,,,,,3.0,6.0,,,,,Cullman,,01_043,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,045,72,000,Alabama,Dale County,47428.0,144.0,35912.0,1131.0,10683.0,1122.0,4092.0,687.0,2146.0,438.0,4445.0,1149.0,833.0,329.0,Puerto Rico,-,,,,,,,,,,,53.0,84.0,,,,,Dale,,01_045,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,049,72,000,Alabama,DeKalb County,67227.0,240.0,58687.0,1381.0,8179.0,1281.0,5531.0,1027.0,1517.0,595.0,1131.0,303.0,361.0,231.0,Puerto Rico,-,,,,,,,,,,,128.0,193.0,,,,,DeKalb,,01_049,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,065,72,000,Alabama,Hale County,17885.0,62.0,16075.0,397.0,1799.0,383.0,813.0,269.0,750.0,308.0,236.0,154.0,11.0,15.0,Puerto Rico,-,,,,,,,,,,,1.0,119.0,,,,,Hale,,01_065,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,073,72,000,Alabama,Jefferson County,653276.0,514.0,539550.0,4404.0,112028.0,4328.0,81942.0,3698.0,16058.0,1418.0,14028.0,1246.0,1698.0,410.0,Puerto Rico,-,,,,,,,,,,,3.0,6.0,,,,,Jefferson,,01_073,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,081,72,000,Alabama,Lee County,129074.0,223.0,96666.0,1557.0,31247.0,1657.0,15797.0,1177.0,8554.0,942.0,6896.0,675.0,1161.0,352.0,Puerto Rico,-,,,,,,,,,,,8.0,10.0,,,,,Lee,,01_081,Puerto Rico,outflow_05_09_Puerto Rico.csv
01,089,72,000,Alabama,Madison County,310170.0,389.0,252912.0,2287.0,55022.0,2310.0,33567.0,2211.0,7285.0,782.0,14170.0,1705.0,2236.0,593.0,Puerto Rico,-,,,,,,,,,,,13.0,17.0,,,,,Madison,,01_089,Puerto Rico,outflow_05_09_Puerto Rico.csv
