origin_fips_state,origin_fips_county,dest_fips_state,dest_fips_county,origin_state_name,origin_county_name,municipio_county_of_current_residence_estimate,origin_col_7_moe,origin_nonmovers_estimate,origin_col_9_moe,movers_within_puerto_rico_or_united_states1_estimate,origin_col_11_moe,movers_within_same_municipio_county_estimate,origin_col_13_moe,movers_from_different_municipio_or_county__same_state_estimate,origin_col_15_moe,origin_movers_diff_state_estimate,origin_col_17_moe,movers_from_elsewhere2_estimate,origin_col_19_moe,dest_state_name,dest_county_name,municipio_of_residence_1_year_ago_estimate,dest_col_23_moe,dest_nonmovers_estimate,dest_col_25_moe,movers_within_puerto_rico_estimate,dest_col_27_moe,movers_within_same_municipio_estimate,dest_col_29_moe,movers_to_different_municipio_estimate,dest_col_31_moe,movers_to_united_states_estimate,dest_col_33_moe,movers_in_county_to_county_flow_estimate,dest_col_35_moe,dest_col_36,dest_col_37,origin_county_name_clean,dest_county_name_clean,origin_location_key,dest_location_key,source_file
72,031,72,001,Puerto Rico,Carolina Municipio,160298.0,278.0,143908.0,1516.0,14522.0,1433.0,8766.0,1157.0,5756.0,883.0,1340.0,326.0,528.0,233.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,14.0,22.0,,,Carolina Municipio,Adjuntas Municipio,72_031,72_001,outflow_13_17_Puerto Rico.csv
72,043,72,001,Puerto Rico,Coamo Municipio,39416.0,121.0,36301.0,744.0,2638.0,679.0,2042.0,575.0,596.0,313.0,451.0,313.0,26.0,31.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,29.0,22.0,,,Coamo Municipio,Adjuntas Municipio,72_043,72_001,outflow_13_17_Puerto Rico.csv
72,065,72,001,Puerto Rico,Hatillo Municipio,40734.0,134.0,40300.0,248.0,425.0,209.0,344.0,213.0,81.0,69.0,,,9.0,15.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,13.0,21.0,,,Hatillo Municipio,Adjuntas Municipio,72_065,72_001,outflow_13_17_Puerto Rico.csv
72,071,72,001,Puerto Rico,Isabela Municipio,42925.0,129.0,41763.0,471.0,902.0,390.0,554.0,307.0,348.0,138.0,247.0,179.0,13.0,20.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,20.0,32.0,,,Isabela Municipio,Adjuntas Municipio,72_071,72_001,outflow_13_17_Puerto Rico.csv
72,089,72,001,Puerto Rico,Luquillo Municipio,18851.0,66.0,17032.0,477.0,1353.0,460.0,473.0,292.0,880.0,375.0,419.0,216.0,47.0,63.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,12.0,18.0,,,Luquillo Municipio,Adjuntas Municipio,72_089,72_001,outflow_13_17_Puerto Rico.csv
72,091,72,001,Puerto Rico,Manatí Municipio,40371.0,129.0,37969.0,534.0,2070.0,507.0,1100.0,388.0,970.0,336.0,315.0,259.0,17.0,27.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,23.0,36.0,,,Manatí Municipio,Adjuntas Municipio,72_091,72_001,outflow_13_17_Puerto Rico.csv
72,097,72,001,Puerto Rico,Mayagüez Municipio,79021.0,222.0,69411.0,1123.0,8891.0,1122.0,5332.0,923.0,3559.0,682.0,596.0,290.0,123.0,95.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,88.0,137.0,,,Mayagüez Municipio,Adjuntas Municipio,72_097,72_001,outflow_13_17_Puerto Rico.csv
72,113,72,001,Puerto Rico,Ponce Municipio,147048.0,291.0,135198.0,1179.0,10907.0,1079.0,7715.0,927.0,3192.0,528.0,769.0,290.0,174.0,95.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,151.0,109.0,,,Ponce Municipio,Adjuntas Municipio,72_113,72_001,outflow_13_17_Puerto Rico.csv
72,125,72,001,Puerto Rico,San Germán Municipio,32632.0,121.0,29735.0,726.0,2572.0,691.0,1833.0,612.0,739.0,309.0,276.0,131.0,49.0,55.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,11.0,18.0,,,San Germán Municipio,Adjuntas Municipio,72_125,72_001,outflow_13_17_Puerto Rico.csv
72,127,72,001,Puerto Rico,San Juan Municipio,352108.0,361.0,318231.0,2006.0,30688.0,1873.0,20076.0,1574.0,10612.0,942.0,1949.0,383.0,1240.0,299.0,Puerto Rico,Adjuntas Municipio,19460.0,349.0,17743.0,271.0,1188.0,319.0,484.0,182.0,704.0,246.0,529.0,276.0,65.0,40.0,,,San Juan Municipio,Adjuntas Municipio,72_127,72_001,outflow_13_17_Puerto Rico.csv
